"","region","category","language","mother_tongue","most_at_home","most_at_work","lang_known"
"48","Oshawa","Non-Official & Non-Aboriginal languages","Afrikaans",80,30,0,215
"49","Toronto","Non-Official & Non-Aboriginal languages","Afrikaans",985,265,0,4260
"50","Hamilton","Non-Official & Non-Aboriginal languages","Afrikaans",215,95,0,600
"51","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Afrikaans",120,45,0,205
"52","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Afrikaans",105,35,0,230
"53","Brantford","Non-Official & Non-Aboriginal languages","Afrikaans",20,15,0,45
"54","Guelph","Non-Official & Non-Aboriginal languages","Afrikaans",30,5,0,85
"55","London","Non-Official & Non-Aboriginal languages","Afrikaans",80,25,0,195
"56","Windsor","Non-Official & Non-Aboriginal languages","Afrikaans",25,5,0,110
"57","Barrie","Non-Official & Non-Aboriginal languages","Afrikaans",50,20,0,100
"58","Greater Sudbury","Non-Official & Non-Aboriginal languages","Afrikaans",20,0,0,40
"59","Thunder Bay","Non-Official & Non-Aboriginal languages","Afrikaans",10,5,0,25
"60","Winnipeg","Non-Official & Non-Aboriginal languages","Afrikaans",175,65,0,290
"61","Regina","Non-Official & Non-Aboriginal languages","Afrikaans",145,85,0,300
"62","Saskatoon","Non-Official & Non-Aboriginal languages","Afrikaans",210,115,0,400
"63","Lethbridge","Non-Official & Non-Aboriginal languages","Afrikaans",90,45,0,120
"64","Calgary","Non-Official & Non-Aboriginal languages","Afrikaans",960,505,15,1955
"65","Edmonton","Non-Official & Non-Aboriginal languages","Afrikaans",575,300,0,1220
"66","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Afrikaans",175,40,0,450
"67","Kelowna","Non-Official & Non-Aboriginal languages","Afrikaans",175,75,0,280
"68","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Afrikaans",135,75,0,285
"69","Vancouver","Non-Official & Non-Aboriginal languages","Afrikaans",1435,520,10,4225
"70","Victoria","Non-Official & Non-Aboriginal languages","Afrikaans",175,50,0,580
"71","St. John's","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,30
"72","Halifax","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"73","Moncton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"74","Saint John","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,10
"75","Saguenay","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"76","Québec","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",30,10,0,75
"77","Sherbrooke","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",40,15,0,10
"78","Trois-Rivières","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"79","Montréal","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",240,65,0,615
"80","Kingston","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",5,0,0,10
"81","Belleville","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"82","Peterborough","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"83","Oshawa","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,30
"84","Toronto","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",360,185,10,720
"85","Hamilton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",55,30,0,65
"86","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",5,5,0,15
"87","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",5,5,0,40
"88","Brantford","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"89","Guelph","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",5,0,0,0
"90","London","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",15,0,0,50
"91","Windsor","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",10,0,0,10
"92","Barrie","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",5,0,0,0
"93","Greater Sudbury","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"94","Thunder Bay","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",5,0,0,10
"95","Winnipeg","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",60,20,0,125
"96","Regina","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,25
"97","Saskatoon","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",20,0,0,20
"98","Lethbridge","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,0
"99","Calgary","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",45,15,0,170
"100","Edmonton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",65,20,0,155
"101","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",80,20,0,205
"102","Kelowna","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",5,0,0,0
"103","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,10
"104","Vancouver","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",45,10,0,95
"105","Victoria","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.",0,0,0,20
"106","St. John's","Non-Official & Non-Aboriginal languages","Akan (Twi)",25,5,0,60
"107","Halifax","Non-Official & Non-Aboriginal languages","Akan (Twi)",35,5,0,35
"108","Moncton","Non-Official & Non-Aboriginal languages","Akan (Twi)",0,0,0,0
"109","Saint John","Non-Official & Non-Aboriginal languages","Akan (Twi)",15,5,0,25
"110","Saguenay","Non-Official & Non-Aboriginal languages","Akan (Twi)",0,0,0,0
"111","Québec","Non-Official & Non-Aboriginal languages","Akan (Twi)",0,0,0,10
"112","Sherbrooke","Non-Official & Non-Aboriginal languages","Akan (Twi)",0,0,0,10
"113","Trois-Rivières","Non-Official & Non-Aboriginal languages","Akan (Twi)",0,0,0,0
"114","Montréal","Non-Official & Non-Aboriginal languages","Akan (Twi)",1015,440,0,1710
"115","Kingston","Non-Official & Non-Aboriginal languages","Akan (Twi)",25,15,0,80
"116","Belleville","Non-Official & Non-Aboriginal languages","Akan (Twi)",0,0,0,0
"117","Peterborough","Non-Official & Non-Aboriginal languages","Akan (Twi)",5,0,0,0
"118","Oshawa","Non-Official & Non-Aboriginal languages","Akan (Twi)",95,25,0,185
"119","Toronto","Non-Official & Non-Aboriginal languages","Akan (Twi)",8485,4045,20,13715
"120","Hamilton","Non-Official & Non-Aboriginal languages","Akan (Twi)",255,90,0,515
"121","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Akan (Twi)",80,10,0,150
"122","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Akan (Twi)",65,15,0,85
"123","Brantford","Non-Official & Non-Aboriginal languages","Akan (Twi)",30,15,0,15
"124","Guelph","Non-Official & Non-Aboriginal languages","Akan (Twi)",25,15,0,30
"125","London","Non-Official & Non-Aboriginal languages","Akan (Twi)",70,10,0,155
"126","Windsor","Non-Official & Non-Aboriginal languages","Akan (Twi)",80,25,0,130
"127","Barrie","Non-Official & Non-Aboriginal languages","Akan (Twi)",20,10,0,65
"128","Greater Sudbury","Non-Official & Non-Aboriginal languages","Akan (Twi)",10,5,0,30
"129","Thunder Bay","Non-Official & Non-Aboriginal languages","Akan (Twi)",20,0,0,35
"130","Winnipeg","Non-Official & Non-Aboriginal languages","Akan (Twi)",130,45,0,210
"131","Regina","Non-Official & Non-Aboriginal languages","Akan (Twi)",60,20,0,180
"132","Saskatoon","Non-Official & Non-Aboriginal languages","Akan (Twi)",80,25,0,105
"133","Lethbridge","Non-Official & Non-Aboriginal languages","Akan (Twi)",30,20,0,85
"134","Calgary","Non-Official & Non-Aboriginal languages","Akan (Twi)",705,330,0,1150
"135","Edmonton","Non-Official & Non-Aboriginal languages","Akan (Twi)",885,445,0,1435
"136","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Akan (Twi)",390,130,0,700
"137","Kelowna","Non-Official & Non-Aboriginal languages","Akan (Twi)",5,0,0,30
"138","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Akan (Twi)",15,0,0,15
"139","Vancouver","Non-Official & Non-Aboriginal languages","Akan (Twi)",400,125,10,495
"140","Victoria","Non-Official & Non-Aboriginal languages","Akan (Twi)",20,0,0,0
"141","St. John's","Non-Official & Non-Aboriginal languages","Albanian",80,30,0,130
"142","Halifax","Non-Official & Non-Aboriginal languages","Albanian",250,110,0,380
"143","Moncton","Non-Official & Non-Aboriginal languages","Albanian",15,5,0,30
"144","Saint John","Non-Official & Non-Aboriginal languages","Albanian",5,5,0,0
"145","Saguenay","Non-Official & Non-Aboriginal languages","Albanian",0,0,0,0
"146","Québec","Non-Official & Non-Aboriginal languages","Albanian",210,100,0,285
"147","Sherbrooke","Non-Official & Non-Aboriginal languages","Albanian",20,10,10,25
"148","Trois-Rivières","Non-Official & Non-Aboriginal languages","Albanian",0,0,0,0
"149","Montréal","Non-Official & Non-Aboriginal languages","Albanian",2450,1445,20,2880
"150","Kingston","Non-Official & Non-Aboriginal languages","Albanian",25,5,0,50
"151","Belleville","Non-Official & Non-Aboriginal languages","Albanian",0,0,0,0
"152","Peterborough","Non-Official & Non-Aboriginal languages","Albanian",75,25,0,85
"153","Oshawa","Non-Official & Non-Aboriginal languages","Albanian",95,45,0,115
"154","Toronto","Non-Official & Non-Aboriginal languages","Albanian",13260,6380,215,15375
"155","Hamilton","Non-Official & Non-Aboriginal languages","Albanian",1440,740,35,1780
"156","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Albanian",165,75,0,185
"157","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Albanian",985,540,25,1050
"158","Brantford","Non-Official & Non-Aboriginal languages","Albanian",30,20,0,65
"159","Guelph","Non-Official & Non-Aboriginal languages","Albanian",55,40,0,40
"160","London","Non-Official & Non-Aboriginal languages","Albanian",1085,485,0,1200
"161","Windsor","Non-Official & Non-Aboriginal languages","Albanian",950,460,0,1315
"162","Barrie","Non-Official & Non-Aboriginal languages","Albanian",65,30,0,55
"163","Greater Sudbury","Non-Official & Non-Aboriginal languages","Albanian",0,5,0,10
"164","Thunder Bay","Non-Official & Non-Aboriginal languages","Albanian",0,0,0,0
"165","Winnipeg","Non-Official & Non-Aboriginal languages","Albanian",305,150,0,380
"166","Regina","Non-Official & Non-Aboriginal languages","Albanian",190,110,0,300
"167","Saskatoon","Non-Official & Non-Aboriginal languages","Albanian",85,45,0,140
"168","Lethbridge","Non-Official & Non-Aboriginal languages","Albanian",60,10,0,55
"169","Calgary","Non-Official & Non-Aboriginal languages","Albanian",1365,620,25,1735
"170","Edmonton","Non-Official & Non-Aboriginal languages","Albanian",770,370,10,885
"171","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Albanian",710,320,0,865
"172","Kelowna","Non-Official & Non-Aboriginal languages","Albanian",30,10,0,20
"173","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Albanian",80,25,0,140
"174","Vancouver","Non-Official & Non-Aboriginal languages","Albanian",1090,530,10,1135
"175","Victoria","Non-Official & Non-Aboriginal languages","Albanian",125,70,0,145
"176","St. John's","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"177","Halifax","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"178","Moncton","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"179","Saint John","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"180","Saguenay","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"181","Québec","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"182","Sherbrooke","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"183","Trois-Rivières","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"184","Montréal","Aboriginal languages","Algonquian languages, n.i.e.",5,0,0,10
"185","Kingston","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"186","Belleville","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"187","Peterborough","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"188","Oshawa","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"189","Toronto","Aboriginal languages","Algonquian languages, n.i.e.",5,5,0,10
"190","Hamilton","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"191","St. Catharines - Niagara","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"192","Kitchener - Cambridge - Waterloo","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"193","Brantford","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"194","Guelph","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"195","London","Aboriginal languages","Algonquian languages, n.i.e.",5,0,0,10
"196","Windsor","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"197","Barrie","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"198","Greater Sudbury","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"199","Thunder Bay","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"200","Winnipeg","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"201","Regina","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"202","Saskatoon","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"203","Lethbridge","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"204","Calgary","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"205","Edmonton","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"206","Ottawa - Gatineau","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"207","Kelowna","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"208","Abbotsford - Mission","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"209","Vancouver","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"210","Victoria","Aboriginal languages","Algonquian languages, n.i.e.",0,0,0,0
"211","St. John's","Aboriginal languages","Algonquin",0,0,0,0
"212","Halifax","Aboriginal languages","Algonquin",0,0,0,0
"213","Moncton","Aboriginal languages","Algonquin",0,0,0,0
"214","Saint John","Aboriginal languages","Algonquin",0,0,0,0
"215","Saguenay","Aboriginal languages","Algonquin",0,0,0,0
"216","Québec","Aboriginal languages","Algonquin",15,0,0,25
"217","Sherbrooke","Aboriginal languages","Algonquin",0,0,0,0
"218","Trois-Rivières","Aboriginal languages","Algonquin",0,0,0,10
"219","Montréal","Aboriginal languages","Algonquin",30,10,0,30
"220","Kingston","Aboriginal languages","Algonquin",0,0,0,0
"221","Belleville","Aboriginal languages","Algonquin",0,0,0,0
"222","Peterborough","Aboriginal languages","Algonquin",0,0,0,0
"223","Oshawa","Aboriginal languages","Algonquin",0,0,0,0
"224","Toronto","Aboriginal languages","Algonquin",5,0,0,15
"225","Hamilton","Aboriginal languages","Algonquin",0,0,0,0
"226","St. Catharines - Niagara","Aboriginal languages","Algonquin",0,0,0,10
"227","Kitchener - Cambridge - Waterloo","Aboriginal languages","Algonquin",0,0,0,10
"228","Brantford","Aboriginal languages","Algonquin",0,0,0,0
"229","Guelph","Aboriginal languages","Algonquin",0,0,0,0
"230","London","Aboriginal languages","Algonquin",0,0,0,0
"231","Windsor","Aboriginal languages","Algonquin",0,0,0,0
"232","Barrie","Aboriginal languages","Algonquin",0,0,0,0
"233","Greater Sudbury","Aboriginal languages","Algonquin",0,0,0,10
"234","Thunder Bay","Aboriginal languages","Algonquin",5,0,0,0
"235","Winnipeg","Aboriginal languages","Algonquin",5,0,0,0
"236","Regina","Aboriginal languages","Algonquin",0,0,0,0
"237","Saskatoon","Aboriginal languages","Algonquin",0,0,0,0
"238","Lethbridge","Aboriginal languages","Algonquin",0,0,0,0
"239","Calgary","Aboriginal languages","Algonquin",5,0,0,0
"240","Edmonton","Aboriginal languages","Algonquin",0,0,0,0
"241","Ottawa - Gatineau","Aboriginal languages","Algonquin",40,0,0,85
"242","Kelowna","Aboriginal languages","Algonquin",5,0,0,0
"243","Abbotsford - Mission","Aboriginal languages","Algonquin",0,0,0,0
"244","Vancouver","Aboriginal languages","Algonquin",5,0,0,15
"245","Victoria","Aboriginal languages","Algonquin",5,0,0,0
"246","St. John's","Non-Official & Non-Aboriginal languages","American Sign Language",30,40,15,260
"247","Halifax","Non-Official & Non-Aboriginal languages","American Sign Language",55,65,15,565
"248","Moncton","Non-Official & Non-Aboriginal languages","American Sign Language",15,15,0,100
"249","Saint John","Non-Official & Non-Aboriginal languages","American Sign Language",10,10,10,160
"250","Saguenay","Non-Official & Non-Aboriginal languages","American Sign Language",0,0,0,0
"251","Québec","Non-Official & Non-Aboriginal languages","American Sign Language",0,0,0,20
"252","Sherbrooke","Non-Official & Non-Aboriginal languages","American Sign Language",0,0,0,10
"253","Trois-Rivières","Non-Official & Non-Aboriginal languages","American Sign Language",0,0,0,0
"254","Montréal","Non-Official & Non-Aboriginal languages","American Sign Language",50,70,0,465
"255","Kingston","Non-Official & Non-Aboriginal languages","American Sign Language",25,20,10,200
"256","Belleville","Non-Official & Non-Aboriginal languages","American Sign Language",85,85,50,475
"257","Peterborough","Non-Official & Non-Aboriginal languages","American Sign Language",20,20,20,200
"258","Oshawa","Non-Official & Non-Aboriginal languages","American Sign Language",40,50,10,420
"259","Toronto","Non-Official & Non-Aboriginal languages","American Sign Language",470,720,245,3505
"260","Hamilton","Non-Official & Non-Aboriginal languages","American Sign Language",65,85,25,535
"261","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","American Sign Language",40,30,0,315
"262","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","American Sign Language",70,80,45,460
"263","Brantford","Non-Official & Non-Aboriginal languages","American Sign Language",15,20,0,60
"264","Guelph","Non-Official & Non-Aboriginal languages","American Sign Language",20,25,15,200
"265","London","Non-Official & Non-Aboriginal languages","American Sign Language",105,115,40,535
"266","Windsor","Non-Official & Non-Aboriginal languages","American Sign Language",40,35,10,385
"267","Barrie","Non-Official & Non-Aboriginal languages","American Sign Language",30,20,10,180
"268","Greater Sudbury","Non-Official & Non-Aboriginal languages","American Sign Language",15,15,0,145
"269","Thunder Bay","Non-Official & Non-Aboriginal languages","American Sign Language",25,30,0,90
"270","Winnipeg","Non-Official & Non-Aboriginal languages","American Sign Language",185,205,145,1385
"271","Regina","Non-Official & Non-Aboriginal languages","American Sign Language",10,5,0,95
"272","Saskatoon","Non-Official & Non-Aboriginal languages","American Sign Language",45,40,10,390
"273","Lethbridge","Non-Official & Non-Aboriginal languages","American Sign Language",10,5,0,85
"274","Calgary","Non-Official & Non-Aboriginal languages","American Sign Language",100,85,25,910
"275","Edmonton","Non-Official & Non-Aboriginal languages","American Sign Language",180,190,85,1540
"276","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","American Sign Language",90,120,35,1035
"277","Kelowna","Non-Official & Non-Aboriginal languages","American Sign Language",35,20,15,210
"278","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","American Sign Language",15,15,10,200
"279","Vancouver","Non-Official & Non-Aboriginal languages","American Sign Language",265,300,140,2035
"280","Victoria","Non-Official & Non-Aboriginal languages","American Sign Language",40,35,45,435
"281","St. John's","Non-Official & Non-Aboriginal languages","Amharic",25,10,0,50
"282","Halifax","Non-Official & Non-Aboriginal languages","Amharic",105,50,10,260
"283","Moncton","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,55
"284","Saint John","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,20
"285","Saguenay","Non-Official & Non-Aboriginal languages","Amharic",0,0,0,0
"286","Québec","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,0
"287","Sherbrooke","Non-Official & Non-Aboriginal languages","Amharic",5,5,0,0
"288","Trois-Rivières","Non-Official & Non-Aboriginal languages","Amharic",0,0,0,0
"289","Montréal","Non-Official & Non-Aboriginal languages","Amharic",665,315,0,980
"290","Kingston","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,15
"291","Belleville","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,0
"292","Peterborough","Non-Official & Non-Aboriginal languages","Amharic",5,5,0,20
"293","Oshawa","Non-Official & Non-Aboriginal languages","Amharic",65,15,0,75
"294","Toronto","Non-Official & Non-Aboriginal languages","Amharic",7460,3820,55,11435
"295","Hamilton","Non-Official & Non-Aboriginal languages","Amharic",215,70,10,290
"296","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Amharic",50,10,0,45
"297","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Amharic",795,525,0,1130
"298","Brantford","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,0
"299","Guelph","Non-Official & Non-Aboriginal languages","Amharic",195,130,0,300
"300","London","Non-Official & Non-Aboriginal languages","Amharic",260,115,10,410
"301","Windsor","Non-Official & Non-Aboriginal languages","Amharic",95,45,0,215
"302","Barrie","Non-Official & Non-Aboriginal languages","Amharic",25,10,0,15
"303","Greater Sudbury","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,0
"304","Thunder Bay","Non-Official & Non-Aboriginal languages","Amharic",5,5,0,0
"305","Winnipeg","Non-Official & Non-Aboriginal languages","Amharic",1520,875,20,2180
"306","Regina","Non-Official & Non-Aboriginal languages","Amharic",130,70,0,240
"307","Saskatoon","Non-Official & Non-Aboriginal languages","Amharic",140,70,0,275
"308","Lethbridge","Non-Official & Non-Aboriginal languages","Amharic",55,40,0,85
"309","Calgary","Non-Official & Non-Aboriginal languages","Amharic",4075,2730,50,5775
"310","Edmonton","Non-Official & Non-Aboriginal languages","Amharic",2515,1695,35,4090
"311","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Amharic",1515,870,10,2140
"312","Kelowna","Non-Official & Non-Aboriginal languages","Amharic",20,0,0,40
"313","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Amharic",5,0,0,10
"314","Vancouver","Non-Official & Non-Aboriginal languages","Amharic",1140,540,10,1755
"315","Victoria","Non-Official & Non-Aboriginal languages","Amharic",105,25,0,140
"316","St. John's","Non-Official & Non-Aboriginal languages","Arabic",900,615,20,1245
"317","Halifax","Non-Official & Non-Aboriginal languages","Arabic",6425,3845,125,8850
"318","Moncton","Non-Official & Non-Aboriginal languages","Arabic",845,610,50,1220
"319","Saint John","Non-Official & Non-Aboriginal languages","Arabic",725,605,70,755
"320","Saguenay","Non-Official & Non-Aboriginal languages","Arabic",185,55,0,300
"321","Québec","Non-Official & Non-Aboriginal languages","Arabic",5195,1975,15,8180
"322","Sherbrooke","Non-Official & Non-Aboriginal languages","Arabic",1730,935,25,2440
"323","Trois-Rivières","Non-Official & Non-Aboriginal languages","Arabic",665,220,0,955
"324","Montréal","Non-Official & Non-Aboriginal languages","Arabic",151955,72980,1590,241000
"325","Kingston","Non-Official & Non-Aboriginal languages","Arabic",835,445,10,1175
"326","Belleville","Non-Official & Non-Aboriginal languages","Arabic",85,30,0,130
"327","Peterborough","Non-Official & Non-Aboriginal languages","Arabic",275,160,0,370
