,genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
35,nonfiction,"Amazon Digital Services,  Inc.",6.294,6.294,31.47,18.882,3,(Small or Medium Publisher),small/medium,4.14,10.49,69611,228
36,nonfiction,"Amazon Digital Services,  Inc.",4.485,10.465,14.95,0.0,5,(Indie Publisher),indie,3.89,2.99,49359,39
37,nonfiction,"Amazon Digital Services,  Inc.",34.086,34.086,170.43,102.258,57,(Single-Author Publisher),single author,3.87,2.99,3715,149
38,nonfiction,"Amazon Digital Services,  Inc.",34.552,34.552,172.76,103.656,4,(Small or Medium Publisher),small/medium,4.5,43.19,61773,4
39,children,Penguin Group (USA) LLC,1.592,1.592,7.96,4.776,4,DK Publishing,big five,4.54,1.99,59627,33
40,nonfiction,"Amazon Digital Services,  Inc.",36.256,36.256,181.28,108.768,11,(Small or Medium Publisher),small/medium,4.42,16.48,24535,78
41,comics,DC Comics,19.98,19.98,99.9,59.94,10,(Small or Medium Publisher),small/medium,4.27,9.99,28346,18
42,genre fiction,Macmillan,17.758,17.758,88.79,53.274,13,Minotaur Books,big five,4.59,6.83,14470,77
43,genre fiction,"Amazon Digital Services,  Inc.",18.612,18.612,93.06,55.836,94,(Single-Author Publisher),single author,4.43,0.99,1769,231
44,nonfiction,"Amazon Digital Services,  Inc.",2.376,2.376,11.88,7.128,12,(Single-Author Publisher),single author,4.59,0.99,21182,20
45,nonfiction,Random House LLC,35.812,35.812,179.06,107.436,14,Knopf,big five,4.43,12.79,10346,135
46,nonfiction,"Amazon Digital Services,  Inc.",9.912,9.912,49.56,29.736,4,(Small or Medium Publisher),small/medium,0.0,12.39,54491,0
47,nonfiction,"Amazon Digital Services,  Inc.",77.584,77.584,387.92,232.752,8,(Small or Medium Publisher),small/medium,4.46,48.49,37179,43
48,children,HarperCollins Publishers,10.752,10.752,53.76,32.256,14,Greenwillow Books,big five,4.59,3.84,12895,40
49,genre fiction,"Amazon Digital Services,  Inc.",3.056,3.056,15.28,9.168,4,(Small or Medium Publisher),small/medium,4.43,3.82,55566,60
50,nonfiction,"Amazon Digital Services,  Inc.",0.598,0.598,2.99,1.794,1,(Single-Author Publisher),single author,4.5,2.99,92987,20
51,genre fiction,Penguin Group (USA) LLC,41.93,41.93,209.65,125.79,35,Berkley,big five,4.48,5.99,4920,201
52,nonfiction,"Amazon Digital Services,  Inc.",6.392,6.392,31.96,19.176,4,(Single-Author Publisher),single author,4.31,7.99,59588,35
53,nonfiction,Random House LLC,33.152,33.152,165.76,99.456,14,Crown Business,big five,4.32,11.84,11325,249
54,nonfiction,"Amazon Digital Services,  Inc.",12.558,29.302,41.86,0.0,14,(Indie Publisher),indie,5.0,2.99,11231,7
55,nonfiction,"Amazon Digital Services,  Inc.",2.684,2.684,13.42,8.052,1,(Small or Medium Publisher),small/medium,4.65,13.42,99036,64
56,genre fiction,Macmillan,255.632,255.632,1278.16,766.896,104,Tor Books,big five,4.59,12.29,1337,103
57,nonfiction,"Amazon Digital Services,  Inc.",5.596,5.596,27.98,16.788,2,(Small or Medium Publisher),small/medium,3.75,13.99,78181,12
58,genre fiction,"Amazon Digital Services,  Inc.",47.946,47.946,239.73,143.838,61,(Single-Author Publisher),single author,4.71,3.93,3475,21
59,genre fiction,"Amazon Digital Services,  Inc.",0.5,0.5,2.5,1.5,1,(Small or Medium Publisher),small/medium,4.04,2.5,89593,23
60,nonfiction,"Amazon Digital Services,  Inc.",2.99,2.99,14.95,8.97,5,(Single-Author Publisher),single author,4.0,2.99,48714,8
61,nonfiction,"Amazon Digital Services,  Inc.",13.986,13.986,69.93,41.958,7,(Small or Medium Publisher),small/medium,4.74,9.99,41981,131
62,nonfiction,"Amazon Digital Services,  Inc.",2.691,6.279,8.97,0.0,3,(Indie Publisher),indie,4.63,2.99,69820,11
63,nonfiction,"Amazon Digital Services,  Inc.",15.984,15.984,79.92,47.952,8,(Small or Medium Publisher),small/medium,3.81,9.99,36140,72
64,genre fiction,"Amazon Digital Services,  Inc.",132.276,132.276,661.38,396.828,151,(Small or Medium Publisher),small/medium,4.34,4.38,608,115
65,nonfiction,Random House LLC,13.986,13.986,69.93,41.958,7,Vintage,big five,4.35,9.99,40238,291
66,nonfiction,"Amazon Digital Services,  Inc.",4.0,4.0,20.0,12.0,1,(Small or Medium Publisher),small/medium,4.07,20.0,88311,13
67,nonfiction,"Amazon Digital Services,  Inc.",5.498,5.498,27.49,16.494,1,(Small or Medium Publisher),small/medium,4.6,27.49,88283,28
68,nonfiction,"Amazon Digital Services,  Inc.",2.914,2.914,14.57,8.742,1,(Small or Medium Publisher),small/medium,4.4,14.57,96161,5
69,genre fiction,"Amazon Digital Services,  Inc.",9.568,9.568,47.84,28.704,16,(Small or Medium Publisher),small/medium,4.89,2.99,9126,19
70,nonfiction,Random House LLC,23.016,23.016,115.08,69.048,12,Galvanized Books,big five,4.66,9.59,21012,12
71,nonfiction,Macmillan,5.334,5.334,26.67,16.002,3,Henry Holt and Co.,big five,4.68,8.89,72306,67
72,nonfiction,HarperCollins Publishers,27.742,27.742,138.71,83.226,13,HarperCollins e-books,big five,3.84,10.67,14283,607
73,genre fiction,"Amazon Digital Services,  Inc.",11.172,11.172,55.86,33.516,14,(Small or Medium Publisher),small/medium,4.77,3.99,12782,18
74,nonfiction,"Amazon Digital Services,  Inc.",8.073,18.837,26.91,0.0,9,(Indie Publisher),indie,5.0,2.99,33303,6
75,nonfiction,"Amazon Digital Services,  Inc.",8.994,8.994,44.97,26.982,3,(Single-Author Publisher),single author,4.0,14.99,64761,6
76,nonfiction,"Amazon Digital Services,  Inc.",10.392,10.392,51.96,31.176,4,(Small or Medium Publisher),small/medium,4.51,12.99,59001,41
77,genre fiction,"Amazon Digital Services,  Inc.",11.172,11.172,55.86,33.516,14,(Single-Author Publisher),single author,4.65,3.99,10416,29
78,nonfiction,Macmillan,12.446,12.446,62.23,37.338,7,St. Martin's Press,big five,3.85,8.89,40764,194
79,nonfiction,Simon and Schuster Digital Sales Inc,35.028,35.028,175.14,105.084,18,Scribner,big five,4.12,9.73,8580,400
80,genre fiction,"Amazon Digital Services,  Inc.",169.83,169.83,849.15,509.49,85,(Small or Medium Publisher),small/medium,4.22,9.99,2217,1274
81,nonfiction,"Amazon Digital Services,  Inc.",1.9305,1.0395,2.97,0.0,3,(Indie Publisher),indie,0.0,0.99,70626,0
82,children,HarperCollins Publishers,1.196,1.196,5.98,3.588,1,HarperCollins,big five,4.8,5.98,95472,35
83,nonfiction,"Amazon Digital Services,  Inc.",1.508,1.508,7.54,4.524,2,(Single-Author Publisher),single author,4.53,3.77,76891,13
84,nonfiction,"Amazon Digital Services,  Inc.",5.992,5.992,29.96,17.976,2,(Small or Medium Publisher),small/medium,4.09,14.98,83447,21
85,nonfiction,"Amazon Digital Services,  Inc.",7.774,7.774,38.87,23.322,13,(Small or Medium Publisher),small/medium,4.64,2.99,15900,85
86,genre fiction,"Amazon Digital Services,  Inc.",4.432,4.432,22.16,13.296,4,(Small or Medium Publisher),small/medium,3.88,5.54,59414,60
87,nonfiction,"Amazon Digital Services,  Inc.",13.178,13.178,65.89,39.534,11,(Single-Author Publisher),single author,4.5,5.99,25518,56
88,nonfiction,Hachette Book Group,21.978,21.978,109.89,65.934,11,Grand Central Publishing,big five,4.52,9.99,24296,404
89,genre fiction,"Amazon Digital Services,  Inc.",14.157,7.623,21.78,0.0,22,(Indie Publisher),indie,4.66,0.99,6535,127
90,fiction,Macmillan,83.052,83.052,415.26,249.156,54,St. Martin's Press,big five,4.14,7.69,3881,534
91,nonfiction,"Amazon Digital Services,  Inc.",1.794,1.794,8.97,5.382,3,(Small or Medium Publisher),small/medium,4.5,2.99,65001,4
92,genre fiction,"Amazon Digital Services,  Inc.",2.292,2.292,11.46,6.876,3,(Small or Medium Publisher),small/medium,4.0,3.82,64011,13
93,nonfiction,"Amazon Digital Services,  Inc.",0.897,2.093,2.99,0.0,1,(Indie Publisher),indie,4.0,2.99,87639,2
94,fiction,Penguin Group (USA) LLC,149.586,149.586,747.93,448.758,107,Riverhead,big five,4.51,6.99,1223,3810
95,nonfiction,Simon and Schuster Digital Sales Inc,19.872,19.872,99.36,59.616,9,Simon & Schuster,big five,4.64,11.04,32389,174
96,comics,"Amazon Digital Services,  Inc.",11.628,11.628,58.14,34.884,9,(Small or Medium Publisher),small/medium,4.87,6.46,33598,8
97,nonfiction,"Amazon Digital Services,  Inc.",6.138,6.138,30.69,18.414,31,(Small or Medium Publisher),small/medium,4.48,0.99,5148,41
98,genre fiction,Macmillan,15.574,15.574,77.87,46.722,13,Tor Books,big five,4.49,5.99,16436,199
99,genre fiction,"Amazon Digital Services,  Inc.",3.168,3.168,15.84,9.504,16,(Small or Medium Publisher),small/medium,4.1,0.99,9254,28
100,fiction,Macmillan,70.656,70.656,353.28,211.968,32,Forge Books,big five,0.0,11.04,5087,0
101,nonfiction,"Amazon Digital Services,  Inc.",20.44,20.44,102.2,61.32,4,(Small or Medium Publisher),small/medium,4.53,25.55,59163,15
102,genre fiction,"Amazon Digital Services,  Inc.",71.4285,38.4615,109.89,0.0,111,(Indie Publisher),indie,4.45,0.99,1052,257
103,genre fiction,"Amazon Digital Services,  Inc.",2.574,2.574,12.87,7.722,13,(Single-Author Publisher),single author,3.65,0.99,15869,29
104,genre fiction,"Amazon Digital Services,  Inc.",8.372,8.372,41.86,25.116,14,(Single-Author Publisher),single author,4.48,2.99,12747,25
105,children,"Amazon Digital Services,  Inc.",19.98,19.98,99.9,59.94,10,(Small or Medium Publisher),small/medium,4.88,9.99,26931,27
106,nonfiction,"Amazon Digital Services,  Inc.",33.012,33.012,165.06,99.036,18,(Small or Medium Publisher),small/medium,4.56,9.17,8605,62
107,nonfiction,Hachette Book Group,10.99,10.99,54.95,32.97,5,Hyperion,big five,4.59,10.99,46935,261
108,nonfiction,"Amazon Digital Services,  Inc.",2.138,2.138,10.69,6.414,1,(Small or Medium Publisher),small/medium,4.69,10.69,97594,23
109,genre fiction,Hachette Book Group,29.358,29.358,146.79,88.074,21,Forever,big five,4.51,6.99,7272,252
110,children,"Amazon Digital Services,  Inc.",8.073,18.837,26.91,0.0,9,(Indie Publisher),indie,4.57,2.99,33441,21
111,nonfiction,"Amazon Digital Services,  Inc.",5.97,5.97,29.85,17.91,15,(Small or Medium Publisher),small/medium,4.53,1.99,9815,158
112,nonfiction,"Amazon Digital Services,  Inc.",7.0785,3.8115,10.89,0.0,11,(Indie Publisher),indie,4.2,0.99,23335,5
113,nonfiction,"Amazon Digital Services,  Inc.",1.794,4.186,5.98,0.0,2,(Indie Publisher),indie,3.25,2.99,77956,4
114,nonfiction,"Amazon Digital Services,  Inc.",21.978,21.978,109.89,65.934,11,(Small or Medium Publisher),small/medium,4.64,9.99,24685,37
115,genre fiction,"Amazon Digital Services,  Inc.",2.766,2.766,13.83,8.298,3,(Small or Medium Publisher),small/medium,0.0,4.61,69825,0
116,genre fiction,"Amazon Digital Services,  Inc.",85.386,85.386,426.93,256.158,107,(Single-Author Publisher),single author,0.0,3.99,1220,0
117,genre fiction,"Amazon Digital Services,  Inc.",26.946,62.874,89.82,0.0,18,(Indie Publisher),indie,4.68,4.99,8325,126
118,genre fiction,"Amazon Digital Services,  Inc.",6.876,6.876,34.38,20.628,9,(Small or Medium Publisher),small/medium,4.2,3.82,31458,10
119,genre fiction,"Amazon Digital Services,  Inc.",1.936,1.936,9.68,5.808,2,(Small or Medium Publisher),small/medium,4.15,4.84,84913,19
120,genre fiction,"Amazon Digital Services,  Inc.",36.6795,19.7505,56.43,0.0,57,(Indie Publisher),indie,4.4,0.99,3697,22
121,nonfiction,Penguin Group (USA) LLC,25.974,25.974,129.87,77.922,13,Penguin Books,big five,4.17,9.99,17829,133
122,nonfiction,"Amazon Digital Services,  Inc.",21.582,21.582,107.91,64.746,11,(Small or Medium Publisher),small/medium,4.58,9.81,24971,36
123,nonfiction,"Amazon Digital Services,  Inc.",6.592,6.592,32.96,19.776,2,(Small or Medium Publisher),small/medium,4.43,16.48,75514,86
124,genre fiction,"Amazon Digital Services,  Inc.",4.485,10.465,14.95,0.0,5,(Indie Publisher),indie,4.0,2.99,49268,8
125,nonfiction,"Amazon Digital Services,  Inc.",16.524,16.524,82.62,49.572,9,(Small or Medium Publisher),small/medium,4.65,9.18,32004,70
126,nonfiction,"Amazon Digital Services,  Inc.",11.674,11.674,58.37,35.022,13,(Small or Medium Publisher),small/medium,5.0,4.49,16658,3
127,genre fiction,"Amazon Digital Services,  Inc.",15.054,15.054,75.27,45.162,13,(Small or Medium Publisher),small/medium,4.13,5.79,16237,95
128,nonfiction,"Amazon Digital Services,  Inc.",2.392,2.392,11.96,7.176,4,(Single-Author Publisher),single author,4.67,2.99,55123,37
129,nonfiction,"Amazon Digital Services,  Inc.",2.392,2.392,11.96,7.176,4,(Single-Author Publisher),single author,4.0,2.99,57852,17
130,nonfiction,"Amazon Digital Services,  Inc.",23.66,23.66,118.3,70.98,13,(Small or Medium Publisher),small/medium,4.48,9.1,16588,31
131,genre fiction,"Amazon Digital Services,  Inc.",4.158,4.158,20.79,12.474,21,(Small or Medium Publisher),small/medium,4.4,0.99,7262,105
132,nonfiction,Penguin Group (USA) LLC,26.376,26.376,131.88,79.128,12,Tarcher,big five,4.89,10.99,19064,113
133,nonfiction,"Amazon Digital Services,  Inc.",8.118,8.118,40.59,24.354,41,(Single-Author Publisher),single author,3.91,0.99,4557,175
134,nonfiction,HarperCollins Publishers,23.058,23.058,115.29,69.174,21,Harper Perennial,big five,3.89,5.49,6900,122
135,nonfiction,"Amazon Digital Services,  Inc.",4.776,4.776,23.88,14.328,12,(Small or Medium Publisher),small/medium,4.4,1.99,19816,20
136,nonfiction,"Amazon Digital Services,  Inc.",7.0785,3.8115,10.89,0.0,11,(Indie Publisher),indie,3.84,0.99,22533,13
137,nonfiction,"Amazon Digital Services,  Inc.",4.491,10.479,14.97,0.0,3,(Indie Publisher),indie,4.83,4.99,65576,6
138,genre fiction,"Amazon Digital Services,  Inc.",726.57,1695.33,2421.9,0.0,810,(Indie Publisher),indie,4.77,2.99,138,61
139,nonfiction,Random House LLC,9.472,9.472,47.36,28.416,4,Crown Business,big five,4.52,11.84,53286,123
140,genre fiction,"Amazon Digital Services,  Inc.",104.052,242.788,346.84,0.0,116,(Indie Publisher),indie,4.87,2.99,898,63
141,genre fiction,Simon and Schuster Digital Sales Inc,202.498,202.498,1012.49,607.494,103,Atria Books,big five,4.48,9.83,1355,1858
142,genre fiction,Penguin Group (USA) LLC,5.99,5.99,29.95,17.97,5,DAW,big five,4.07,5.99,46694,69
143,fiction,"Amazon Digital Services,  Inc.",8.484,8.484,42.42,25.452,14,(Small or Medium Publisher),small/medium,4.77,3.03,12016,9
144,nonfiction,"Amazon Digital Services,  Inc.",8.073,18.837,26.91,0.0,9,(Indie Publisher),indie,4.45,2.99,30342,102
145,nonfiction,"Amazon Digital Services,  Inc.",1.196,1.196,5.98,3.588,2,(Single-Author Publisher),single author,3.44,2.99,81288,9
146,nonfiction,"Amazon Digital Services,  Inc.",3.992,3.992,19.96,11.976,4,(Small or Medium Publisher),small/medium,4.57,4.99,55838,7
147,nonfiction,"Amazon Digital Services,  Inc.",10.188,10.188,50.94,30.564,3,(Small or Medium Publisher),small/medium,4.33,16.98,67876,9
148,genre fiction,"Amazon Digital Services,  Inc.",9.576,22.344,31.92,0.0,8,(Indie Publisher),indie,4.48,3.99,37891,35
149,genre fiction,"Amazon Digital Services,  Inc.",11.976,27.944,39.92,0.0,8,(Indie Publisher),indie,4.58,4.99,35632,74
150,children,"Amazon Digital Services,  Inc.",1.596,1.596,7.98,4.788,2,(Small or Medium Publisher),small/medium,4.46,3.99,83810,45
151,children,Penguin Group (USA) LLC,3.51,3.51,17.55,10.53,3,Puffin,big five,4.66,5.85,73510,9
152,nonfiction,"Amazon Digital Services,  Inc.",0.6435,0.3465,0.99,0.0,1,(Indie Publisher),indie,4.33,0.99,99590,3
153,nonfiction,"Amazon Digital Services,  Inc.",9.196,9.196,45.98,27.588,2,(Small or Medium Publisher),small/medium,4.48,22.99,84747,25
154,nonfiction,Random House LLC,3.996,3.996,19.98,11.988,2,Vintage,big five,3.85,9.99,82443,96
155,genre fiction,"Amazon Digital Services,  Inc.",6.93,6.93,34.65,20.79,35,(Single-Author Publisher),single author,4.59,0.99,4935,72
156,genre fiction,Random House LLC,7.992,7.992,39.96,23.976,4,Del Rey,big five,3.87,9.99,51649,80
157,nonfiction,"Amazon Digital Services,  Inc.",2.547,5.943,8.49,0.0,1,(Indie Publisher),indie,4.9,8.49,91375,22
158,nonfiction,"Amazon Digital Services,  Inc.",6.138,6.138,30.69,18.414,31,(Single-Author Publisher),single author,4.5,0.99,5123,8
159,nonfiction,"Amazon Digital Services,  Inc.",19.168,19.168,95.84,57.504,16,(Single-Author Publisher),single author,4.92,5.99,9104,40
160,nonfiction,"Amazon Digital Services,  Inc.",3.861,2.079,5.94,0.0,6,(Indie Publisher),indie,5.0,0.99,43493,1
161,nonfiction,Random House LLC,9.472,9.472,47.36,28.416,4,Villard,big five,4.58,11.84,59621,12
162,children,"Amazon Digital Services,  Inc.",2.392,2.392,11.96,7.176,4,(Single-Author Publisher),single author,4.85,2.99,50463,7
163,genre fiction,Macmillan,92.684,92.684,463.42,278.052,58,Tor Books,big five,4.41,7.99,3643,838
164,nonfiction,"Amazon Digital Services,  Inc.",1.287,0.693,1.98,0.0,2,(Indie Publisher),indie,3.77,0.99,76743,9
165,genre fiction,HarperCollins Publishers,4.554,4.554,22.77,13.662,23,HarperCollins e-books,big five,3.92,0.99,6132,26
166,nonfiction,Random House LLC,3.594,3.594,17.97,10.782,3,Ivy Books,big five,4.55,5.99,74107,29
167,nonfiction,"Amazon Digital Services,  Inc.",4.996,4.996,24.98,14.988,2,(Small or Medium Publisher),small/medium,3.0,12.49,79168,10
168,children,"Amazon Digital Services,  Inc.",1.2935,0.6965,1.99,0.0,1,(Indie Publisher),indie,0.0,1.99,92972,0
169,nonfiction,"Amazon Digital Services,  Inc.",0.396,0.396,1.98,1.188,2,(Small or Medium Publisher),small/medium,4.05,0.99,75422,18
170,nonfiction,HarperCollins Publishers,3.908,3.908,19.54,11.724,2,Harper Perennial,big five,4.0,9.77,84897,17
171,genre fiction,"Amazon Digital Services,  Inc.",15.249,35.581,50.83,0.0,17,(Indie Publisher),indie,4.53,2.99,8880,15
172,nonfiction,"Amazon Digital Services,  Inc.",5.634,5.634,28.17,16.902,3,(Single-Author Publisher),single author,4.58,9.39,68950,46
173,comics,"Amazon Digital Services,  Inc.",5.99,5.99,29.95,17.97,5,(Single-Author Publisher),single author,4.66,5.99,47390,9
174,nonfiction,Random House LLC,33.572,33.572,167.86,100.716,14,Random House,big five,4.14,11.99,12861,27
175,children,"Amazon Digital Services,  Inc.",6.152,6.152,30.76,18.456,4,(Small or Medium Publisher),small/medium,4.66,7.69,55930,3
176,nonfiction,"Amazon Digital Services,  Inc.",21.924,21.924,109.62,65.772,14,(Small or Medium Publisher),small/medium,4.46,7.83,13400,65
177,nonfiction,"Amazon Digital Services,  Inc.",5.586,5.586,27.93,16.758,7,(Single-Author Publisher),single author,4.0,3.99,40750,4
178,nonfiction,"Amazon Digital Services,  Inc.",0.598,0.598,2.99,1.794,1,(Single-Author Publisher),single author,4.5,2.99,91634,2
179,children,"Amazon Digital Services,  Inc.",8.336,8.336,41.68,25.008,8,(Small or Medium Publisher),small/medium,4.38,5.21,35879,223
180,nonfiction,Random House LLC,17.578,17.578,87.89,52.734,11,Doubleday,big five,4.64,7.99,25928,254
181,genre fiction,Penguin Group (USA) LLC,110.89,110.89,554.45,332.67,65,Jove,big five,4.08,8.53,3249,180
182,fiction,Simon and Schuster Digital Sales Inc,219.45,219.45,1097.25,658.35,275,Scribner,big five,4.2,3.99,335,4099
183,nonfiction,"Amazon Digital Services,  Inc.",19.98,19.98,99.9,59.94,10,(Single-Author Publisher),single author,4.74,9.99,26383,63
184,nonfiction,"Amazon Digital Services,  Inc.",9.22,9.22,46.1,27.66,10,(Small or Medium Publisher),small/medium,4.71,4.61,28199,35
185,genre fiction,"Amazon Digital Services,  Inc.",96.416,96.416,482.08,289.248,92,(Small or Medium Publisher),small/medium,4.17,5.24,1865,178
186,nonfiction,"Amazon Digital Services,  Inc.",19.96,19.96,99.8,59.88,10,(Small or Medium Publisher),small/medium,4.62,9.98,29296,453
187,nonfiction,"Amazon Digital Services,  Inc.",32.604,32.604,163.02,97.812,11,(Small or Medium Publisher),small/medium,4.13,14.82,25870,270
188,genre fiction,"Amazon Digital Services,  Inc.",24.414,24.414,122.07,73.242,13,(Single-Author Publisher),single author,4.12,9.39,17484,80
189,nonfiction,Hachette Book Group,27.972,27.972,139.86,83.916,14,"Little, Brown and Company",big five,4.4,9.99,11876,119
190,nonfiction,"Amazon Digital Services,  Inc.",8.073,18.837,26.91,0.0,9,(Indie Publisher),indie,3.72,2.99,30659,22
191,nonfiction,Penguin Group (USA) LLC,28.776,28.776,143.88,86.328,12,Tarcher,big five,4.85,11.99,20227,34
192,nonfiction,"Amazon Digital Services,  Inc.",0.792,0.792,3.96,2.376,4,(Single-Author Publisher),single author,2.46,0.99,61259,15
193,genre fiction,"Amazon Digital Services,  Inc.",1.936,1.936,9.68,5.808,2,(Small or Medium Publisher),small/medium,3.77,4.84,79612,22
194,genre fiction,"Amazon Digital Services,  Inc.",14.534,14.534,72.67,43.602,13,(Small or Medium Publisher),small/medium,4.73,5.59,16230,80
195,nonfiction,"Amazon Digital Services,  Inc.",12.87,6.93,19.8,0.0,20,(Indie Publisher),indie,4.32,0.99,7483,37
196,genre fiction,Random House LLC,40.278,40.278,201.39,120.834,21,Knopf,big five,3.7,9.59,6911,10
197,nonfiction,"Amazon Digital Services,  Inc.",7.792,7.792,38.96,23.376,2,(Small or Medium Publisher),small/medium,4.1,19.48,84726,82
198,nonfiction,"Amazon Digital Services,  Inc.",41.382,41.382,206.91,124.146,9,(Small or Medium Publisher),small/medium,4.67,22.99,30661,28
199,genre fiction,Simon and Schuster Digital Sales Inc,22.178,22.178,110.89,66.534,13,Simon & Schuster,big five,4.16,8.53,15053,298
200,comics,DC Comics,1.188,1.188,5.94,3.564,6,(Small or Medium Publisher),small/medium,4.7,0.99,42814,10
201,genre fiction,"Amazon Digital Services,  Inc.",19.152,19.152,95.76,57.456,24,(Single-Author Publisher),single author,4.9,3.99,5929,10
202,genre fiction,"Amazon Digital Services,  Inc.",40.698,94.962,135.66,0.0,34,(Indie Publisher),indie,5.0,3.99,4952,5
